name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
          WASP-168 b,133.48793,0.0519,1344.03284,1.45959,1.08,1.12,6000,16.81347
          WASP-137 b,216.44114,0.0519,1662.63153,3.38437,1.216,1.65,6100,14.23541
      EPIC 220504338,406.82036,0.0575,1157.84289,0.98671,1.007,1.047,5627,10.20017
        Kepler-167 e,1271.31363,1.89,140.812,0.23276,0.76,0.7,4796,10.20017
           WASP-32 b,1144.18226,0.0394,1561.32784,1.53164,1.1,1.11,6100,13.2266
          HAT-P-38 b,84.86018,0.0523,1080.32582,0.61731,0.886,0.923,5330,9.24741
           WASP-89 b,1875.1876,0.0427,1089.84593,0.41911,0.92,0.88,4955,11.65734
          Kepler-7 b,137.6197,0.06246,1629.02572,4.53932,1.36,2.02,5933,18.09129
          CoRoT-19 b,352.78953,0.0518,1657.85955,3.36223,1.21,1.65,6090,14.45959
   Kepler-34 (AB)  b,69.92225,1.0896,287.69521,1.32803,2.0687,1.1,5913,8.5603
          WASP-158 b,886.74125,0.0517,1587.70258,2.82043,1.38,1.39,6350,11.99361
              XO-3 b,3747.19691,0.0454,1889.6961,4.21442,1.41,1.49,6781,13.64133
            K2-260 b,441.78149,0.0407,1982.88682,4.21409,1.39,1.69,6367,17.39634
           HATS-69 b,183.38699,0.03211,1295.69496,0.48252,0.892,0.8785,5137,10.59249
          HAT-P-44 b,124.58874,0.0507,1122.71308,0.67643,0.939,0.979,5295,14.3475
              XO-6 b,603.87397,0.0815,1576.89371,6.81997,1.47,1.93,6720,23.20259
            WASP-8 b,713.20694,0.0801,943.27097,0.80192,1.033,0.953,5600,11.63492
           HATS-14 b,340.39422,0.03815,1278.09057,0.63837,0.967,0.933,5346,11.64613
           HATS-55 b,292.71996,0.05412,1368.22111,1.69728,1.1955,1.126,6214,14.02243
           HATS-59 b,256.1697,0.06112,1128.01675,0.99596,1.038,1.036,5670,12.62131
          CoRoT-21 b,718.2922,0.0417,2041.81675,5.01876,1.29,1.945,6200,14.57167
          Qatar-10 b,233.92171,0.0286,1955.39379,1.98576,1.156,1.254,6124,17.19458
           HATS-13 b,172.58082,0.04057,1250.41929,0.65726,0.962,0.887,5523,13.58528
